time,Lat.,Long.,Mw,magType
2024-12-27T15:37:04.335Z,34.5055,74.1714,4.3,mb
2024-12-27T13:44:48.129Z,36.3072,70.7893,4.3,mb
2024-12-27T01:11:44.869Z,36.5659,70.7338,4.1,mb
2024-12-26T00:15:01.175Z,38.3058,72.977,4.4,mb
2024-12-25T07:57:43.530Z,36.4503,70.3895,4.3,mb
2024-12-24T09:08:29.842Z,36.6824,71.0996,4.2,mb
2024-12-22T01:00:32.010Z,37.2564,71.2961,4.5,mwr
2024-12-21T19:36:29.722Z,39.0267,70.8752,4.5,mb
2024-12-18T10:53:06.485Z,34.2703,78.7475,4.4,mb
2024-12-18T10:01:07.075Z,40.0431,78.3966,4.2,mb
2024-12-17T12:32:23.783Z,39.7131,77.1382,4.4,mb
2024-12-16T12:28:48.219Z,37.6941,72.0999,4.3,mb
2024-12-16T06:25:10.884Z,32.1325,69.8635,4.3,mb
2024-12-15T12:47:46.480Z,39.0244,72.3786,4.2,mb
2024-12-15T09:20:36.166Z,36.5525,70.9959,4.3,mb
2024-12-14T20:42:40.310Z,37.676,72.2871,4,mb
2024-12-14T10:23:09.654Z,38.3126,72.9403,4.3,mb
2024-12-11T15:53:51.932Z,39.9754,78.0989,4.1,mb
2024-12-10T23:05:02.457Z,39.0886,71.537,4,mb
2024-12-10T10:03:02.595Z,36.7617,70.9195,4.7,mb
2024-12-09T03:24:09.187Z,40.8173,68.4502,4,mb
2024-12-08T08:29:02.509Z,36.6023,70.9069,4.2,mb
2024-12-07T17:08:36.129Z,30.2844,80.3295,4,mb
2024-12-05T06:21:22.894Z,32.8339,73.7141,5.2,mb
2024-12-05T04:26:35.919Z,38.5154,72.8604,4.5,mb
2024-11-30T09:32:41.098Z,40.093,77.6063,4.4,mb
2024-11-28T10:49:00.723Z,36.6297,71.2277,4.9,mb
2024-11-27T20:31:40.824Z,40.4137,77.8019,4.5,mb
2024-11-27T17:31:03.010Z,37.3462,71.5418,4.6,mb
2024-11-26T23:22:07.691Z,37.1517,71.5621,4.1,mb
2024-11-25T18:42:15.117Z,44.2913,79.8235,4.5,mb
2024-11-25T17:15:52.717Z,30.4238,69.9749,4.2,mb
2024-11-25T08:39:06.231Z,37.734,75.6835,4.4,mb
2024-11-23T12:15:15.049Z,36.4994,70.2701,4,mb
2024-11-23T10:06:58.603Z,42.3595,80.5047,4.3,mb
2024-11-23T08:33:03.377Z,39.3572,71.8331,4.9,mb
2024-11-23T04:27:58.296Z,36.4922,70.495,4.2,mb
2024-11-22T01:05:14.855Z,36.5206,71.1713,4.3,mb
2024-11-19T22:53:19.453Z,39.9403,69.9459,4.3,mb
2024-11-19T17:08:13.060Z,39.5795,75.0263,4.4,mb
2024-11-17T20:45:07.237Z,37.2211,68.8368,4.5,mb
2024-11-17T19:00:06.698Z,35.9951,77.0783,4.2,mwr
2024-11-16T23:49:30.546Z,37.0996,71.2466,4.5,mww
2024-11-16T23:13:17.040Z,36.6597,71.0365,4.3,mb
2024-11-14T13:07:31.855Z,36.5338,70.8358,4.2,mwr
2024-11-13T15:47:56.598Z,36.5366,70.8309,4.9,mb
